dataset_id,dataset_name,dataset_source,suite,task,framework,seed,time_budget_s,n_train,n_test,n_features_before,n_features_after,n_added,score_holdout,scorer_name,scorer_greater_is_better,score_nofe_same_seed,pct_improvement,wall_time_fit,wall_time_transform,wall_time_total,peak_rss_mb,n_boost_rounds,status,error_msg,adapter_version,internal_log_json
breast_cancer,breast-cancer,pmlb,smoke_test,classification,tabularaml,1,1200,228,58,9,18,9,0.6642754662840746,binary_roc_auc,True,0.7101865136298422,-0.06464646464646463,27.20085620880127,0.012844324111938477,32.98445725440979,329.8046875,19,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 26.046729803085327, ""n_init_feats"": 9, ""n_added_feats"": 9, ""initial_metric"": null, ""final_metric"": 0.6465706707086017, ""pct_gain"": 0.23680776583839017}"
361618,forest_fires,openml_task,smoke_test,regression,tabularaml,3,1200,413,104,12,22,10,76.33363751552544,rmse,False,78.06841423527099,0.022221236805419684,36.78649878501892,0.02026200294494629,40.41941857337952,352.53515625,17,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 36.03596901893616, ""n_init_feats"": 12, ""n_added_feats"": 10, ""initial_metric"": null, ""final_metric"": 26.41131399178163, ""pct_gain"": 0.0693052912684568}"
breast_cancer,breast-cancer,pmlb,smoke_test,classification,autofeat,2,1200,228,58,9,12,3,0.7195121951219511,binary_roc_auc,True,0.7101865136298422,0.013131313131312912,42.84675598144531,0.012435197830200195,45.68061804771423,512.01171875,26,ok,,upstream-2.1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,autofeat,1,1200,228,58,9,10,1,0.7288378766140603,binary_roc_auc,True,0.7101865136298422,0.026262626262626293,41.33368730545044,0.009965658187866211,47.72657513618469,511.2890625,91,ok,,upstream-2.1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,autofeat,0,1200,228,58,9,12,3,0.7073170731707317,binary_roc_auc,True,0.659971305595409,0.07173913043478246,47.921393394470215,0.012305736541748047,50.93514108657837,514.75390625,22,ok,,upstream-2.1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,tabularaml,4,1200,413,104,12,23,11,73.79068201177222,rmse,False,74.99468974133806,0.016054573113357118,47.928712606430054,0.02793288230895996,52.083375453948975,353.30859375,13,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 46.84225940704346, ""n_init_feats"": 12, ""n_added_feats"": 11, ""initial_metric"": null, ""final_metric"": 29.300726562065403, ""pct_gain"": 0.11124182007532199}"
breast_cancer,breast-cancer,pmlb,smoke_test,classification,autofeat,3,1200,228,58,9,12,3,0.7051649928263987,binary_roc_auc,True,0.7094691535150646,-0.006066734074823326,50.16390419006348,0.012638568878173828,55.22845792770386,514.828125,7,ok,,upstream-2.1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,autofeat,4,1200,228,58,9,9,0,0.7166427546628407,binary_roc_auc,True,0.7166427546628407,0.0,54.1290647983551,0.007009744644165039,58.9374566078186,509.55859375,10,ok,,upstream-2.1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,tabularaml,2,1200,228,58,9,18,9,0.7360114777618364,binary_roc_auc,True,0.7101865136298422,0.03636363636363628,62.38433337211609,0.012067556381225586,69.88897466659546,332.36328125,21,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 62.273234128952026, ""n_init_feats"": 9, ""n_added_feats"": 9, ""initial_metric"": null, ""final_metric"": 0.6630541871921182, ""pct_gain"": 0.0947311330198503}"
breast_cancer,breast-cancer,pmlb,smoke_test,classification,tabularaml,3,1200,228,58,9,18,9,0.7073170731707317,binary_roc_auc,True,0.7094691535150646,-0.0030333670374115846,64.8914475440979,0.011903047561645508,70.53453350067139,331.0546875,13,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 64.78354668617249, ""n_init_feats"": 9, ""n_added_feats"": 9, ""initial_metric"": null, ""final_metric"": 0.7023304281924971, ""pct_gain"": 0.18105544571752885}"
